kind	sheet	sheet_unit	sheet_ability	type	project_unit	project_ability_or_score	issues	sheet_effect	project_description	marker
gods	Лист1	Тор	Бросок мйолнира	PARAM	Тор	Метнуть Мйолнир	урон таблица 0.8, проект 0.5; цели таблица 2003-02-01 00:00:00, проект 123/Enemy	Толчок себя вперед - 2	Описание	
gods	Лист1	Тор	Дерись со мной	NO_ABILITY	Тор	0.41				
gods	Лист1	Тор	Испить эля	PARAM	Тор	Испить эля	стоимость таблица 40, проект 50		Описание	
gods	Лист1	Тор	Молот молний	PARAM	Тор	Метнуть Мйолнир	позиции таблица 12, проект 34; урон таблица 2, проект 0.5; стоимость таблица 80, проект 0		Описание	
gods	Лист1	Тор	За каждые недостающие 10% здоровья - получить 5% брони и 5 урона	NO_ABILITY	Тор	0.27				
gods	Лист1	Сусаноо	Расчитанный удар	PARAM	Сусаноо	Расчитанный удар	урон таблица 1.7, проект 0	Метка, не промахивается. Толчок себя назад 1	Описание	susanoo_calculated_strike
gods	Лист1	Сусаноо	За каждое попадание по противнику - до конца боя увеличивает шанс крита на 5%	NO_ABILITY	Сусаноо	0.16				
gods	Лист1	Осирис	Золотой хопеш	PARAM	Осирис	Золотой хопеш	позиции таблица 123, проект 12	Высокий прирост величия?	Описание	
gods	Лист1	Осирис	Опаляющее солнце	PARAM	Осирис	Опаляющий свет	позиции таблица 234, проект 1234; урон таблица 0.4, проект 0.6	Наносит 0,3 урона на 3 хода. Снижает точность на 15 на 3 хода	Описание	
gods	Лист1	Осирис	Лучи славы	PARAM	Осирис	Лучи славы	стоимость таблица 15, проект 0	Дает по 15 величия и 10 уклонения, на 2 хода	Марка союзника (2 хода). Осирис получает 15 величия, а союзник под маркой — +10 уклонения на 2 хода.	
gods	Лист1	Осирис	Король королей	PARAM	Осирис	Король королей	стоимость таблица 100, проект 80	Снять все негативные эффекты с союзников и наложить 7% регенерации на 3 хода	Описание	
gods	Лист1	Осирис	В начале боя - все союзники получают 15 величия	NO_ABILITY	Осирис	0.29				
gods	Лист1	Зевс	Удар молнии	PARAM	Зевс	Удар молнии	урон таблица 1, проект 1.2	Не промахивается	Описание	
gods	Лист1	Зевс	Низвержение	PARAM	Зевс	Низвергнуть	урон таблица 0.4, проект 0.6; в таблице стойка, в ресурсе не stance	Снимает положительные эффекты (сбивает стойки). Толкнуть себя назад 2	Передвигает Зевса на 2 позиции назад. Снимает с цели положительные эффекты	
gods	Лист1	Зевс	Могучие ветра	PARAM	Зевс	Сокрушающие ветра	урон таблица 0.6, проект 0.5	Отталкивает цель на 2 назад	Отталкивает противника на 2 позиции назад	
gods	Лист1	Зевс	Гнев бога грома	PARAM	Зевс	Гнев Бога Грома	урон таблица 0.3, проект 0	Делаем 5 атак по случайным целям	Стойка. В начале следующего хода, Зевс нанесёт 5 ударов случайным целям, каждый наносит 30% от его урона. Это не израсходует действие во время активации	
gods	Лист1	Зевс	Нескончаемый шторм	PARAM	Зевс	Нескончаемый шторм	позиции таблица 34, проект 1234; урон таблица 0.6, проект 0	Ставит метку на зевса, меток может быть несколько. За каждую - в начале хода зевса, проводится атака по случайному противнику. Она может промахнуться и критануть	В начале раунда, на самого дальнего противника ударяет молния, нанося 60% урона Зевса	
gods	Лист1	Зевс	Наносит -20% урона врагу на 1 позиции, +20% врагу на третьей и +50% врагу на пятой	NO_ABILITY	Зевс	0.19				
gods	Лист1	Сет	Узурпировать	PARAM	Сет	Узурпировать	стоимость таблица 10, проект 20	Копирует ультимативную способность союзника	Выберите другого живого союзника. Сет заменяет свою ультимативную способность на ульту выбранного союзника. После применения скопированной ульты снова получает «Узурпировать».	set_usurp
gods	Лист1	Сет	Когда умирает противник я получаю 20 величия	NO_ABILITY	Сет	0.21				
gods	Лист1	Локи	Если атака кританула - враг оглушен	NO_ABILITY	Локи	0.29				
gods	Лист1	Кощей	У кощея 5 зарядов жизни. После смерти он теряет 1 заряд. При потере всех зарядов - умирает	NO_ABILITY	Кощей	0.13				
gods	Лист1	Аид	Каждый раз когда умирает противник - восстанови 6 маны	NO_ABILITY	Аид	0.25				
gods	Лист1	Моргана Лефей	Каждый раз когда применяешь заклинание на врага, на него накладывается 10% на 2 хода периодический урон	NO_ABILITY	Моргана	0.15				
gods	Лист1	Барон Суббота	Выпей со смертью	NO_UNIT	0.38					
gods	Лист1	Барон Суббота	Танцуй!	NO_UNIT	0.38					
gods	Лист1	Барон Суббота	Игра теней	NO_UNIT	0.38					
gods	Лист1	Барон Суббота	Веселье никогда не заканчивается	NO_UNIT	0.38					
gods	Лист1	Барон Суббота	Кукла вуду	NO_UNIT	0.38					
gods	Лист1	Барон Суббота	Каждый раз когда какой либо накладывается дебафф на врага, есть 50% шанса что длительность увеличится на 1 ход	NO_UNIT	0.38					
gods	Лист1	Один	Неуникальные баффы длятся на 1 ход дольше	NO_ABILITY	Один	0.2				
gods	Лист1	Посейдон	В начале раунда восстанавливаю 5% здоровья за каждый бафф	NO_ABILITY	Посейдон	0.2				
gods	Лист1	Дуна	Мой урон увеличивается на половину от исцеленного здоровья, на 3 хода.	NO_ABILITY	Дуна	0.21				
gods	Лист1	Шива	В начале каждого раунда, базовая удача принимает случайное значение от 0 до 30%	NO_ABILITY	Шива	0.18				
gods	Лист1	Чернобог	Союзники не могут выбрать меня целью, как для простой способности так и для марки	NO_ABILITY	Чернобог	0.17				
enemies	Тартар	Адская гончая	Рывок	NO_ABILITY	Адская гончая	0				
enemies	Тартар	Адская гончая	Пылающие зубы	NO_ABILITY	Адская гончая	0				
enemies	Тартар	Адская гончая	Не бояться смерти	NO_ABILITY	Адская гончая	0				
enemies	Тартар	Последний крик	Лишь один путь	NO_ABILITY	Последний крик	0				
enemies	Тартар	Последний крик	Услышь мой крик	NO_ABILITY	Последний крик	0				
enemies	Тартар	Кошмар	Наступление ада	NO_ABILITY	Кошмар	0				
enemies	Тартар	Кошмар	Войти в сон	NO_ABILITY	Кошмар	0				
enemies	Острова	Каппа воин	Удар копья	NO_ABILITY	Нага воин	0				
enemies	Острова	Каппа воин	Яд древнего народа	NO_ABILITY	Нага воин	0				
enemies	Острова	Каппа воин	Неторопливое движение	NO_ABILITY	Нага воин	0				
enemies	Острова	Каппа шаман	Злые волны	PARAM	Каппа шаман	Злые волны	в таблице стойка, в ресурсе не stance	Сбивавет стойки. Цель назад 1	1.0 урона. Сбивает стойки. Цель отталкивается назад на 1.	kappa_angry_waves
enemies	Острова	Лавовый кабан	Поднять на бивни	PARAM	Лавовый кабан	Поднять на бивни	в таблице стойка, в ресурсе не stance	Сбивает стойки. Если атака кританет - то цель получит стан.	1.0 урона. Сбивает стойки. Если атака критическая — цель получает стан.	lava_boar_tusk_lift
enemies	Корабли	Матрос	Гарпун	PARAM	Матрос	Гарпун	позиции таблица 23, проект 34	Притянуть 2. Вперед себя на 1. Наложить 30% периодического урона на 2 хода	Описание	
enemies	Топь	Тролль	Дать в жбан	PARAM	Тролль	Дать в жбан	цели таблица 1, проект 12/Enemy	В случае крита станит цель	Удар по голове. В случае крита оглушает цель на 1 ход.	
