  [КРУПНЫЙ] Centaur.tres: PNG_H=1024, old=124.0, new=136.7, FinalH=1400
  [ЧЕЛОВЕК] Gladiator.tres: PNG_H=1672, old=110.0, new=71.8, FinalH=1200
  [ЧЕЛОВЕК] Hoplite.tres: PNG_H=1376, old=117.0, new=87.2, FinalH=1200
  [КРУПНЫЙ] Minotaur.tres: PNG_H=1376, old=56.0, new=101.7, FinalH=1400
  [КРУПНЫЙ] Knight.tres: PNG_H=1516, old=65.0, new=92.3, FinalH=1400
  [ЧЕЛОВЕК] Wizard.tres: PNG_H=1672, old=106.0, new=71.8, FinalH=1200
  [КРУПНЫЙ] Sphinx.tres: PNG_H=768, old=200.0, new=182.3, FinalH=1400
  [КРУПНЫЙ] Devil.tres: PNG_H=1280, old=79.0, new=109.4, FinalH=1400
  [МЕЛКИЙ] banshee.tres: PNG_H=1203, old=93.0, new=74.8, FinalH=900
  [ЧЕЛОВЕК] Draugr_raider.tres: PNG_H=1280, old=93.0, new=93.8, FinalH=1200
  [МЕЛКИЙ] indigo.tres: PNG_H=1249, old=92.0, new=72.1, FinalH=900
  [КРУПНЫЙ] jotun.tres: PNG_H=714, old=154.0, new=196.1, FinalH=1400
  [МЕЛКИЙ] dwarf_shield.tres: PNG_H=768, old=98.0, new=117.2, FinalH=900
  [МЕЛКИЙ] kobold.tres: PNG_H=1672, old=80.0, new=53.8, FinalH=900
  [КРУПНЫЙ] alraune.tres: PNG_H=698, old=139.0, new=200.6, FinalH=1400
  [МЕЛКИЙ] druid.tres: PNG_H=1280, old=92.0, new=70.3, FinalH=900
  [МЕЛКИЙ] satyr.tres: PNG_H=1280, old=74.0, new=70.3, FinalH=900
  [КРУПНЫЙ] unicorn.tres: PNG_H=768, old=130.0, new=182.3, FinalH=1400
  [КРУПНЫЙ] Coatl.tres: PNG_H=768, old=131.0, new=182.3, FinalH=1400
  [КРУПНЫЙ] naga_warrior.tres: PNG_H=1678, old=121.0, new=83.4, FinalH=1400
  [МЕЛКИЙ] Saru.tres: PNG_H=768, old=159.0, new=117.2, FinalH=900
  [МЕЛКИЙ] kikimora.tres: PNG_H=757, old=84.0, new=118.9, FinalH=900
  [КРУПНЫЙ] leshy.tres: PNG_H=698, old=130.0, new=200.6, FinalH=1400
  [КРУПНЫЙ] troll.tres: PNG_H=773, old=60.0, new=181.1, FinalH=1400
  [МЕЛКИЙ] utoplennitsa.tres: PNG_H=1264, old=85.0, new=71.2, FinalH=900
  [ЧЕЛОВЕК] Mermaid_Sorceress.tres: PNG_H=1280, old=111.0, new=93.8, FinalH=1200
  [ЧЕЛОВЕК] Merman_Warrior.tres: PNG_H=1280, old=117.0, new=93.8, FinalH=1200
  [ЧЕЛОВЕК] Nanahue.tres: PNG_H=1280, old=114.0, new=93.8, FinalH=1200
  [ЧЕЛОВЕК] Sea_Witch.tres: PNG_H=1678, old=111.0, new=71.5, FinalH=1200
  [ЧЕЛОВЕК] Triton.tres: PNG_H=1280, old=125.0, new=93.8, FinalH=1200
  [МЕЛКИЙ] cappa_shaman.tres: PNG_H=1376, old=90.0, new=65.4, FinalH=900
  [МЕЛКИЙ] crab_collector.tres: PNG_H=1280, old=89.0, new=70.3, FinalH=900
  [МЕЛКИЙ] kirin.tres: PNG_H=714, old=89.0, new=126.1, FinalH=900
  [КРУПНЫЙ] lava_boar.tres: PNG_H=714, old=84.0, new=196.1, FinalH=1400
  [КРУПНЫЙ] captain.tres: PNG_H=1247, old=101.0, new=112.3, FinalH=1400
  [ЧЕЛОВЕК] sailor_with_barrel.tres: PNG_H=1146, old=92.0, new=104.7, FinalH=1200
  [МЕЛКИЙ] bird_knife_wings.tres: PNG_H=698, old=130.0, new=128.9, FinalH=900
  [МЕЛКИЙ] cupid.tres: PNG_H=1264, old=80.0, new=71.2, FinalH=900
  [КРУПНЫЙ] Golden_Valkerie.tres: PNG_H=1688, old=130.0, new=82.9, FinalH=1400
  [КРУПНЫЙ] Griffin.tres: PNG_H=768, old=140.0, new=182.3, FinalH=1400
  [КРУПНЫЙ] Silver_Valkerie.tres: PNG_H=1544, old=130.0, new=90.7, FinalH=1400
  [КРУПНЫЙ] armored_titan.tres: PNG_H=698, old=180.0, new=200.6, FinalH=1400
  [КРУПНЫЙ] attacking_titan.tres: PNG_H=698, old=180.0, new=200.6, FinalH=1400
  [КРУПНЫЙ] cyclops.tres: PNG_H=1377, old=60.0, new=101.7, FinalH=1400
  [КРУПНЫЙ] oni_sorcerer.tres: PNG_H=698, old=140.0, new=200.6, FinalH=1400
  [ЧЕЛОВЕК] oni_warrior.tres: PNG_H=698, old=130.0, new=171.9, FinalH=1200
  [ЧЕЛОВЕК] aquarius.tres: PNG_H=1280, old=120.0, new=93.8, FinalH=1200
  [КРУПНЫЙ] aries.tres: PNG_H=1280, old=120.0, new=109.4, FinalH=1400
  [ЧЕЛОВЕК] gemini.tres: PNG_H=1280, old=80.0, new=93.8, FinalH=1200
  [КРУПНЫЙ] libra.tres: PNG_H=1536, old=80.0, new=91.1, FinalH=1400
  [ЧЕЛОВЕК] virgo.tres: PNG_H=1280, old=120.0, new=93.8, FinalH=1200

Updated: 51 files
